dttm,value
2017-10-06 15:52:48,257
2017-10-06 15:53:18,260
2017-10-06 15:53:48,254
2017-10-06 15:54:18,254
2017-10-06 15:54:48,254
2017-10-06 15:55:18,254
2017-10-06 15:55:48,254
2017-10-06 15:56:18,253
2017-10-06 15:56:48,253
2017-10-06 15:57:18,253
2017-10-06 15:57:48,253
2017-10-06 15:58:18,253
2017-10-06 15:58:48,253
2017-10-06 15:59:18,253
2017-10-06 15:59:48,252
2017-10-06 16:00:18,253
2017-10-06 16:00:49,253
2017-10-06 16:01:19,254
2017-10-06 16:01:49,254
2017-10-06 16:02:19,254
2017-10-06 16:02:49,254
2017-10-06 16:03:19,254
2017-10-06 16:03:49,254
2017-10-06 16:04:19,254
2017-10-06 16:04:49,255
2017-10-06 16:05:19,254
2017-10-06 16:05:49,254
2017-10-06 16:06:19,253
2017-10-06 16:06:49,260
2017-10-06 16:07:19,254
2017-10-06 16:07:49,257
2017-10-06 16:08:19,257
2017-10-06 16:08:49,254
2017-10-06 16:09:19,254
2017-10-06 16:09:49,254
2017-10-06 16:10:19,254
2017-10-06 16:10:50,254
2017-10-06 16:11:20,254
2017-10-06 16:11:50,253
2017-10-06 16:12:20,253
2017-10-06 16:12:50,253
2017-10-06 16:13:20,253
2017-10-06 16:13:50,253
2017-10-06 16:14:20,253
2017-10-06 16:14:50,256
2017-10-06 16:15:20,256
2017-10-06 16:15:50,257
2017-10-06 16:16:20,256
2017-10-06 16:16:50,256
2017-10-06 16:17:20,256
2017-10-06 16:17:50,256
2017-10-06 16:18:20,256
2017-10-06 16:18:50,256
2017-10-06 16:19:20,256
2017-10-06 16:19:50,257
2017-10-06 16:20:21,257
2017-10-06 16:20:51,257
2017-10-06 16:21:21,257
2017-10-06 16:21:51,257
2017-10-06 16:22:21,257
2017-10-06 16:22:51,260
2017-10-06 16:23:21,257
2017-10-06 16:23:51,258
2017-10-06 16:24:21,257
2017-10-06 16:24:51,256
2017-10-06 16:25:21,256
2017-10-06 16:25:51,256
2017-10-06 16:26:21,258
2017-10-06 16:26:51,257
2017-10-06 16:27:21,255
2017-10-06 16:27:51,255
2017-10-06 16:28:21,258
2017-10-06 16:28:51,255
2017-10-06 16:29:21,255
2017-10-06 16:29:51,255
2017-10-06 16:30:21,255
2017-10-06 16:30:52,255
2017-10-06 16:31:22,256
2017-10-06 16:31:52,256
2017-10-06 16:32:22,256
2017-10-06 16:32:52,255
2017-10-06 16:33:22,256
2017-10-06 16:33:52,256
2017-10-06 16:34:22,256
2017-10-06 16:34:52,256
2017-10-06 16:35:22,256
2017-10-06 16:35:52,256
2017-10-06 16:36:22,254
2017-10-06 16:36:52,254
2017-10-06 16:37:22,253
2017-10-06 16:37:52,259
2017-10-06 16:38:22,257
2017-10-06 16:38:52,256
2017-10-06 16:39:22,256
2017-10-06 16:39:52,255
2017-10-06 16:40:22,255
2017-10-06 16:40:53,255
2017-10-06 16:41:23,255
2017-10-06 16:41:53,255
2017-10-06 16:42:23,255
2017-10-06 16:42:53,255
2017-10-06 16:43:23,255
2017-10-06 16:43:53,256
2017-10-06 16:44:23,254
2017-10-06 16:44:53,254
2017-10-06 16:45:23,253
2017-10-06 16:45:53,254
2017-10-06 16:46:23,254
2017-10-06 16:46:53,272
2017-10-06 16:47:23,282
2017-10-06 16:47:53,256
2017-10-06 16:48:23,256
2017-10-06 16:48:53,254
2017-10-06 16:49:23,254
2017-10-06 16:49:53,254
2017-10-06 16:50:23,254
2017-10-06 16:50:53,253
2017-10-06 16:51:24,253
2017-10-06 16:51:54,253
2017-10-06 16:52:24,254
2017-10-06 16:52:54,253
2017-10-06 16:53:24,253
2017-10-06 16:53:54,254
2017-10-06 16:54:24,254
2017-10-06 16:54:54,254
2017-10-06 16:55:24,254
2017-10-06 16:55:54,254
2017-10-06 16:56:24,254
2017-10-06 16:56:54,254
2017-10-06 16:57:24,255
2017-10-06 16:57:54,254
2017-10-06 16:58:24,254
2017-10-06 16:58:54,253
2017-10-06 16:59:24,253
2017-10-06 16:59:54,252
2017-10-06 17:00:24,254
2017-10-06 17:00:54,254
2017-10-06 17:01:25,253
2017-10-06 17:01:55,253
2017-10-06 17:02:25,253
2017-10-06 17:02:55,253
2017-10-06 17:03:25,254
2017-10-06 17:03:55,253
2017-10-06 17:04:25,253
2017-10-06 17:04:55,254
2017-10-06 17:05:25,253
2017-10-06 17:05:55,254
2017-10-06 17:06:25,254
2017-10-06 17:06:55,254
2017-10-06 17:07:25,254
2017-10-06 17:07:55,254
2017-10-06 17:08:25,257
2017-10-06 17:08:55,254
2017-10-06 17:09:25,254
2017-10-06 17:09:55,254
2017-10-06 17:10:25,254
2017-10-06 17:10:55,253
2017-10-06 17:11:25,253
2017-10-06 17:11:56,253
2017-10-06 17:12:26,253
2017-10-06 17:12:56,253
2017-10-06 17:13:26,253
2017-10-06 17:13:56,253
2017-10-06 17:14:26,253
2017-10-06 17:14:56,253
2017-10-06 17:15:26,254
2017-10-06 17:15:56,253
2017-10-06 17:16:26,253
2017-10-06 17:16:56,253
2017-10-06 17:17:26,253
2017-10-06 17:17:56,253
2017-10-06 17:18:26,254
2017-10-06 17:18:56,253
2017-10-06 17:19:26,253
2017-10-06 17:19:56,253
2017-10-06 17:20:26,253
2017-10-06 17:20:56,254
2017-10-06 17:21:26,254
2017-10-06 17:21:56,254
2017-10-06 17:22:27,254
2017-10-06 17:22:57,254
2017-10-06 17:23:27,257
2017-10-06 17:23:57,254
2017-10-06 17:24:27,254
2017-10-06 17:24:57,254
2017-10-06 17:25:27,254
2017-10-06 17:25:57,253
2017-10-06 17:26:27,253
2017-10-06 17:26:57,253
2017-10-06 17:27:27,253
2017-10-06 17:27:57,253
2017-10-06 17:28:27,253
2017-10-06 17:28:57,253
2017-10-06 17:29:27,253
2017-10-06 17:29:57,253
2017-10-06 17:30:27,253
2017-10-06 17:30:57,253
2017-10-06 17:31:27,254
2017-10-06 17:31:57,253
2017-10-06 17:32:27,253
2017-10-06 17:32:58,253
2017-10-06 17:33:28,253
2017-10-06 17:33:58,253
2017-10-06 17:34:28,253
2017-10-06 17:34:58,253
2017-10-06 17:35:28,253
2017-10-06 17:35:58,253
2017-10-06 17:36:28,253
2017-10-06 17:36:58,254
2017-10-06 17:37:28,254
2017-10-06 17:37:58,255
2017-10-06 17:38:28,254
2017-10-06 17:38:58,254
2017-10-06 17:39:28,254
2017-10-06 17:39:58,257
2017-10-06 17:40:28,259
2017-10-06 17:40:58,256
2017-10-06 17:41:28,256
2017-10-06 17:41:58,256
2017-10-06 17:42:28,256
2017-10-06 17:42:58,257
2017-10-06 17:43:29,255
2017-10-06 17:43:59,256
2017-10-06 17:44:29,257
2017-10-06 17:44:59,256
2017-10-06 17:45:29,256
2017-10-06 17:45:59,256
